Transaction #,Operation #,Ignore,Datetime,Amount In,Amount Out,Amount currency,Description,Counterparty address,Counterparty name,Transaction hash,Blockchain,Wallet,transfer_from,transfer_to,transfer_amount,token_address,token_symbol,token_name,transfer_type,call,tx_hash,block_number,from_alias,to_alias,timestamp
66,3,True,2024-09-17 13:31:46,,10898.9440660000,USDC,Transaction,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,Nostra,0x065bbba3926d277daff3c794d51eb743ad33c980fada3efdbcbb2d5225a19249,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,10898.9440660000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x065bbba3926d277daff3c794d51eb743ad33c980fada3efdbcbb2d5225a19249,727149,,Nostra Interest Rate Model,2024-09-17T13:31:46.000Z
65,1,True,2024-09-17 13:30:12,,0.0000023663,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000023663,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,727146,,StarkWare: Sequencer,2024-09-17T13:30:12.000Z
65,2,True,2024-09-17 13:30:12,10818.3117960000,,USDC,Transaction,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,10818.3117960000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,727146,,,2024-09-17T13:30:12.000Z
65,3,True,2024-09-17 13:30:12,,29166.7661067847,STRK,Transaction,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,29166.7661067847,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,execute,transfer,0x04a68ba614abc0a1ce49b65de2dd92adad24b8647150cb949b6ef98e0a7f2bf7,727146,,,2024-09-17T13:30:12.000Z
64,1,True,2024-09-17 13:24:26,29166.6669000000,,STRK,Transaction,0x035c36258fffc1da38afcab896a0967ee6997157f42311757e808509226fe5a1,,0x00f7cd9ed234508872316f25789308edde4aeb1a0316870992cfe10b2ea055b1,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035c36258fffc1da38afcab896a0967ee6997157f42311757e808509226fe5a1,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,29166.6669000000,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,fee_transfer,transfer,0x00f7cd9ed234508872316f25789308edde4aeb1a0316870992cfe10b2ea055b1,727135,,,2024-09-17T13:24:26.000Z
63,1,True,2024-09-16 12:56:40,,0.0000015692,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000015692,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,724367,,StarkWare: Sequencer,2024-09-16T12:56:40.000Z
63,2,True,2024-09-16 12:56:40,,7576.6740540000,USDC,Transaction,0x02e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,Ekubo,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x02e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,7576.6740540000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,724367,,Ekubo Positions,2024-09-16T12:56:40.000Z
63,3,True,2024-09-16 12:56:40,,3000.0000000000,USDT,Transaction,0x02e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,Ekubo,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x02e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,3000.0000000000,0x068f5c6a61780768455de69077e07e89787839bf8166decfbf92b645209c0fb8,USDT,Tether USD,execute,transfer,0x02667957ef3826b84d68991eebb478bec2232f98a106ccfb818b69f3241edd10,724367,,Ekubo Positions,2024-09-16T12:56:40.000Z
62,1,True,2024-09-16 12:55:10,,0.0000011907,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x002b16fe6b9bd1c306f5cd7ca06e7ab0de555f2764cf42af3255960416089847,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000011907,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x002b16fe6b9bd1c306f5cd7ca06e7ab0de555f2764cf42af3255960416089847,724364,,StarkWare: Sequencer,2024-09-16T12:55:10.000Z
62,2,True,2024-09-16 12:55:10,4147.1680540000,,USDC,Transaction,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,,0x002b16fe6b9bd1c306f5cd7ca06e7ab0de555f2764cf42af3255960416089847,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04505a9f06f2bd639b6601f37a4dc0908bb70e8e0e0c34b1220827d64f4fc066,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,4147.1680540000,0x053c91253bc9682c04929ca02ed00b3e423f6710d2ee7e0d5ebb06f3ecf368a8,USDC,USD Coin,execute,transfer,0x002b16fe6b9bd1c306f5cd7ca06e7ab0de555f2764cf42af3255960416089847,724364,,,2024-09-16T12:55:10.000Z
